node_id,year,train_mask,test_mask
0,0,FALSE,FALSE
1,2000,TRUE,FALSE
2,2000,TRUE,FALSE
3,2000,TRUE,FALSE
4,2000,TRUE,FALSE
5,2000,TRUE,FALSE
6,2000,TRUE,FALSE
7,2000,TRUE,FALSE
8,2000,TRUE,FALSE
9,2000,TRUE,FALSE
10,2000,TRUE,FALSE
11,2000,TRUE,FALSE
12,2000,TRUE,FALSE
13,2000,TRUE,FALSE
14,2000,TRUE,FALSE
15,2000,TRUE,FALSE
16,2000,TRUE,FALSE
17,2000,TRUE,FALSE
18,2000,TRUE,FALSE
19,2000,TRUE,FALSE
20,2000,TRUE,FALSE
21,2000,TRUE,FALSE
22,2000,TRUE,FALSE
23,2000,TRUE,FALSE
24,2000,TRUE,FALSE
25,2000,TRUE,FALSE
26,2000,TRUE,FALSE
27,2000,TRUE,FALSE
28,2000,TRUE,FALSE
29,2000,TRUE,FALSE
30,2000,TRUE,FALSE
31,2000,TRUE,FALSE
32,2000,TRUE,FALSE
33,2000,TRUE,FALSE
34,2000,TRUE,FALSE
35,2000,TRUE,FALSE
36,2000,TRUE,FALSE
37,2000,TRUE,FALSE
38,2000,TRUE,FALSE
39,2000,TRUE,FALSE
40,2000,TRUE,FALSE
41,2000,TRUE,FALSE
42,2000,TRUE,FALSE
43,2000,TRUE,FALSE
44,2000,TRUE,FALSE
45,2000,TRUE,FALSE
46,2000,TRUE,FALSE
47,2000,TRUE,FALSE
48,2000,TRUE,FALSE
49,2000,TRUE,FALSE
50,2000,TRUE,FALSE
51,2000,TRUE,FALSE
52,2000,TRUE,FALSE
53,2000,TRUE,FALSE
54,2000,TRUE,FALSE
55,2000,TRUE,FALSE
56,2000,TRUE,FALSE
57,2000,TRUE,FALSE
58,2000,TRUE,FALSE
59,2000,TRUE,FALSE
60,2000,TRUE,FALSE
61,2000,TRUE,FALSE
62,2000,TRUE,FALSE
63,2000,TRUE,FALSE
64,2000,TRUE,FALSE
65,2000,TRUE,FALSE
66,2000,TRUE,FALSE
67,2000,TRUE,FALSE
68,2000,TRUE,FALSE
69,2000,TRUE,FALSE
70,2000,TRUE,FALSE
71,2000,TRUE,FALSE
72,2000,TRUE,FALSE
73,2000,TRUE,FALSE
74,2000,TRUE,FALSE
75,2000,TRUE,FALSE
76,2000,TRUE,FALSE
77,2000,TRUE,FALSE
78,2000,TRUE,FALSE
79,2000,TRUE,FALSE
80,2000,TRUE,FALSE
81,2000,TRUE,FALSE
82,2000,TRUE,FALSE
83,2000,TRUE,FALSE
84,2000,TRUE,FALSE
85,2000,TRUE,FALSE
86,2000,TRUE,FALSE
87,1983,TRUE,FALSE
88,1983,TRUE,FALSE
89,1983,TRUE,FALSE
90,1983,TRUE,FALSE
91,1983,TRUE,FALSE
92,1983,TRUE,FALSE
93,1983,TRUE,FALSE
94,1983,TRUE,FALSE
95,1983,TRUE,FALSE
96,1983,TRUE,FALSE
97,1983,TRUE,FALSE
98,1983,TRUE,FALSE
99,1983,TRUE,FALSE
100,1983,TRUE,FALSE
101,1988,TRUE,FALSE
102,1988,TRUE,FALSE
103,1988,TRUE,FALSE
104,1988,TRUE,FALSE
105,1988,TRUE,FALSE
106,1988,TRUE,FALSE
107,1988,TRUE,FALSE
108,1988,TRUE,FALSE
109,1988,TRUE,FALSE
110,1988,TRUE,FALSE
111,1988,TRUE,FALSE
112,1988,TRUE,FALSE
113,1988,TRUE,FALSE
114,1988,TRUE,FALSE
