src_id,dst_id,ts,train_mask,val_mask,test_mask,idx
6533,6528,1981,True,False,False,1
6542,7432,1982,True,False,False,2
6542,6542,1982,True,False,False,3
6548,99,1983,True,False,False,4
2676,6556,1983,True,False,False,5
6550,6541,1983,True,False,False,6
6553,6535,1983,True,False,False,7
6553,6541,1983,True,False,False,8
6559,6531,1983,True,False,False,9
88,6541,1983,True,False,False,10
91,7432,1983,True,False,False,11
92,6542,1983,True,False,False,12
6548,6555,1983,True,False,False,13
99,1219,1983,True,False,False,14
6602,6587,1984,True,False,False,15
6604,6555,1984,True,False,False,16
6605,2685,1984,True,False,False,17
6607,90,1984,True,False,False,18
6607,93,1984,True,False,False,19
6607,6570,1984,True,False,False,20
6611,2678,1984,True,False,False,21
6611,6547,1984,True,False,False,22
6612,99,1984,True,False,False,23
6598,6534,1984,True,False,False,24
6611,2681,1984,True,False,False,25
6568,6588,1984,True,False,False,26
6570,90,1984,True,False,False,27
6570,93,1984,True,False,False,28
6571,6531,1984,True,False,False,29
6571,6553,1984,True,False,False,30
6571,6557,1984,True,False,False,31
6572,6548,1984,True,False,False,32
6572,6555,1984,True,False,False,33
6581,2678,1984,True,False,False,34
6582,6555,1984,True,False,False,35
6586,6557,1984,True,False,False,36
6588,6568,1984,True,False,False,37
6591,7433,1984,True,False,False,38
6563,88,1984,True,False,False,39
6597,6544,1984,True,False,False,40
6598,6528,1984,True,False,False,41
6635,6600,1985,True,False,False,42
6625,6538,1985,True,False,False,43
6624,2681,1985,True,False,False,44
6621,6557,1985,True,False,False,45
2687,6541,1985,True,False,False,46
2688,6612,1985,True,False,False,47
2698,88,1985,True,False,False,48
2704,87,1985,True,False,False,49
2704,6584,1985,True,False,False,50
6624,6581,1985,True,False,False,51
6624,6611,1985,True,False,False,52
6632,6575,1985,True,False,False,53
6631,6528,1985,True,False,False,54
6628,6541,1985,True,False,False,55
6625,6584,1985,True,False,False,56
1233,6602,1986,True,False,False,57
1232,2691,1986,True,False,False,58
1228,6612,1986,True,False,False,59
1228,6574,1986,True,False,False,60
1233,6612,1986,True,False,False,61
1236,2700,1986,True,False,False,62
1244,2702,1986,True,False,False,63
1239,6643,1986,True,False,False,64
1248,6611,1986,True,False,False,65
1248,6624,1986,True,False,False,66
1249,6625,1986,True,False,False,67
1249,6627,1986,True,False,False,68
1252,6563,1986,True,False,False,69
1256,6575,1986,True,False,False,70
1257,6575,1986,True,False,False,71
1259,2676,1986,True,False,False,72
1259,2681,1986,True,False,False,73
1259,6556,1986,True,False,False,74
1266,6571,1986,True,False,False,75
1267,6606,1986,True,False,False,76
1239,6618,1986,True,False,False,77
1226,2677,1986,True,False,False,78
6645,6624,1986,True,False,False,79
6645,6620,1986,True,False,False,80
6646,6572,1986,True,False,False,81
6648,6629,1986,True,False,False,82
6648,6632,1986,True,False,False,83
6652,6649,1986,True,False,False,84
6656,6615,1986,True,False,False,85
6657,6584,1986,True,False,False,86
6658,6540,1986,True,False,False,87
3101,6577,1986,True,False,False,88
6645,6581,1986,True,False,False,89
1225,6548,1986,True,False,False,90
3096,6541,1986,True,False,False,91
3096,93,1986,True,False,False,92
3095,6540,1986,True,False,False,93
3094,6658,1986,True,False,False,94
3094,6540,1986,True,False,False,95
6643,1239,1986,True,False,False,96
6642,6621,1986,True,False,False,97
1269,6533,1986,True,False,False,98
6640,6641,1986,True,False,False,99
6638,6563,1986,True,False,False,100
6643,6618,1986,True,False,False,101
3096,6637,1986,True,False,False,102
1222,6584,1986,True,False,False,103
1270,6542,1986,True,False,False,104
6669,6626,1987,True,False,False,105
6669,6586,1987,True,False,False,106
6668,1237,1987,True,False,False,107
6667,6641,1987,True,False,False,108
6666,6531,1987,True,False,False,109
6665,6642,1987,True,False,False,110
6664,6538,1987,True,False,False,111
6663,6658,1987,True,False,False,112
6663,6657,1987,True,False,False,113
6663,6648,1987,True,False,False,114
6663,6638,1987,True,False,False,115
6671,6617,1987,True,False,False,116
6660,6675,1987,True,False,False,117
2714,1269,1987,True,False,False,118
2715,1249,1987,True,False,False,119
2716,1222,1987,True,False,False,120
2717,6586,1987,True,False,False,121
2717,6647,1987,True,False,False,122
2719,6555,1987,True,False,False,123
2719,6582,1987,True,False,False,124
2722,7432,1987,True,False,False,125
2725,6643,1987,True,False,False,126
2727,1230,1987,True,False,False,127
6677,6649,1987,True,False,False,128
2708,1257,1987,True,False,False,129
6672,1237,1987,True,False,False,130
6678,6616,1987,True,False,False,131
6672,6614,1987,True,False,False,132
6678,6633,1987,True,False,False,133
6672,6608,1987,True,False,False,134
6679,1266,1987,True,False,False,135
6679,6531,1987,True,False,False,136
6679,6571,1987,True,False,False,137
6680,2696,1987,True,False,False,138
6680,2707,1987,True,False,False,139
6682,6586,1987,True,False,False,140
6683,6615,1987,True,False,False,141
6683,6656,1987,True,False,False,142
6685,6557,1987,True,False,False,143
6685,6619,1987,True,False,False,144
6681,6586,1987,True,False,False,145
6673,6637,1987,True,False,False,146
2707,2696,1987,True,False,False,147
2707,6630,1987,True,False,False,148
2708,1227,1987,True,False,False,149
6677,6538,1987,True,False,False,150
